Step,AgentID,State
0,"(10, 43)",-1
0,"(10, 44)",-1
0,"(10, 45)",-1
0,"(10, 46)",-1
0,"(10, 47)",-1
0,"(10, 50)",-1
0,"(10, 52)",-1
0,"(10, 53)",-1
0,"(10, 56)",-1
0,"(10, 58)",-1
0,"(10, 59)",-1
0,"(10, 61)",-1
0,"(10, 65)",-1
0,"(10, 66)",-1
0,"(10, 67)",-1
0,"(10, 68)",-1
0,"(10, 69)",-1
0,"(10, 71)",-1
0,"(10, 72)",-1
0,"(10, 73)",-1
0,"(10, 74)",-1
0,"(10, 77)",-1
0,"(10, 80)",-1
0,"(10, 81)",-1
0,"(10, 82)",-1
0,"(10, 84)",-1
0,"(10, 85)",-1
0,"(10, 86)",-1
0,"(10, 88)",-1
0,"(10, 89)",-1
0,"(10, 91)",-1
0,"(10, 92)",-1
0,"(10, 93)",-1
0,"(10, 94)",-1
0,"(10, 95)",-1
0,"(10, 97)",-1
0,"(10, 98)",-1
0,"(10, 99)",-1
0,"(11, 0)",-1
0,"(11, 3)",-1
0,"(11, 4)",-1
0,"(11, 5)",-1
0,"(11, 7)",-1
0,"(11, 11)",-1
0,"(11, 13)",-1
0,"(11, 14)",-1
0,"(11, 15)",-1
0,"(11, 16)",-1
0,"(11, 17)",-1
0,"(11, 18)",-1
0,"(11, 19)",-1
0,"(11, 20)",-1
0,"(11, 21)",-1
0,"(11, 22)",-1
0,"(11, 25)",-1
0,"(11, 26)",-1
0,"(11, 27)",-1
0,"(11, 28)",-1
0,"(11, 29)",-1
0,"(11, 32)",-1
0,"(11, 33)",-1
0,"(11, 35)",-1
0,"(11, 36)",-1
0,"(11, 37)",-1
0,"(11, 38)",-1
0,"(11, 40)",-1
0,"(11, 41)",-1
0,"(11, 43)",-1
0,"(11, 44)",-1
0,"(11, 45)",-1
0,"(11, 46)",-1
0,"(11, 47)",-1
0,"(11, 48)",-1
0,"(11, 51)",-1
0,"(11, 52)",-1
0,"(11, 55)",-1
0,"(11, 56)",-1
0,"(11, 57)",-1
0,"(11, 59)",-1
0,"(11, 61)",-1
0,"(11, 63)",-1
0,"(11, 64)",-1
0,"(11, 65)",-1
0,"(11, 66)",-1
0,"(11, 67)",-1
0,"(11, 68)",-1
0,"(11, 69)",-1
0,"(11, 70)",-1
0,"(11, 71)",-1
0,"(11, 76)",-1
0,"(11, 77)",-1
0,"(11, 78)",-1
0,"(11, 79)",-1
0,"(11, 80)",-1
0,"(11, 85)",-1
0,"(11, 86)",-1
0,"(11, 88)",-1
0,"(11, 89)",-1
0,"(11, 90)",-1
0,"(11, 91)",-1
0,"(11, 92)",-1
0,"(11, 93)",-1
0,"(11, 95)",-1
0,"(11, 96)",-1
0,"(11, 97)",-1
0,"(11, 99)",-1
0,"(12, 1)",-1
0,"(12, 2)",-1
0,"(12, 5)",-1
0,"(12, 9)",-1
0,"(12, 10)",-1
0,"(12, 11)",-1
0,"(12, 12)",-1
0,"(12, 14)",-1
0,"(12, 16)",-1
0,"(12, 17)",-1
0,"(12, 18)",-1
0,"(12, 20)",-1
0,"(12, 22)",-1
0,"(12, 23)",-1
0,"(12, 24)",-1
0,"(12, 25)",-1
0,"(12, 26)",-1
0,"(12, 27)",-1
0,"(12, 28)",-1
0,"(12, 29)",-1
0,"(12, 30)",-1
0,"(12, 36)",-1
0,"(12, 37)",-1
